abbreviation,اختصار
attach,إلحاق,إرفاق,أمر وصل
attached table,جدول ملحق
attachment,ملحق,مرفق
attachment protocol,بروتوكول الإلحاق
attention message,رسيلة انتباه
attribute,سمة,خاصية,صفة مميزة (سمة)
audio,سمعي
audio card,بطاقة صوتية
audio response,استجابة صوتية
audio signal,إشارة صوتية
audio support,سناد صوتي
audit,تدقيق
authentication,تتبث,استيثاق,الاستيثاق
authoring,تأليف
author language,لغة تأليف
author system,نظام مؤلف
authorware,برمجية تأليف
auto-answering,جواب آلي
auto-indexing,مثبتة آلية,فهرسة ذاتية
auto-log off,خروج آلي
automatic,آلي
automatic abstract,ملخص تلقائي
automatic check,تدقيق آلي
automatic configuration,تشكيلة آلية
automatic hyphenation,قطع آلي للكلمات
automatician,آلي (ال...)
automatic send-receive,إرسال استقبال آلي
automatic speech recognition,تعرف آلي على الكلام
automatism,آلية
automatization,أتمتة
automaton,أتموت,مشتغل آلي,أوتوماتون
auto-negotiation,تفاوض تلقائي
autonomous,مستقل
auto-start,انطلاق آلي,البدء الأوتوماتي
auxiliary,ثانوي,إضافي
auxiliary storage,خزان مساعد,تخزين إضافي
back,إلى الخلف,رجوع
backbone,عمود فقري (للشبكة),عماد,الهيكل
background,خلفية
background processing,معالجة في الخلفية,تشغيل في الخلفية
backslash,قضيب مائل معكوس,خط مائل عكسي
backup copy,نسخة احتياطية
backup file,ملف احتياطي
bad sector,قطاع معيب
bad track table (BTT),جدول المسالك المعيبة
band rate,سرعة نطاق
bandwidth,عرض نطاق,حيز النطاق,مرشح يسمح بمرور الإشارات الكهربائية التي تتراوح تردداتها بين قيمتين محددتين ويضعف ما عداها.
banner,لافتة
bar,شريط
barcode,شفرة قضيبية,شفرة القضبان
batch processing,معالجة بالدفعات,تشغيل بالدفعة
baud,بود
because it's time to network (Bitnet),شبكة بيتنيت
beep,رنة,صفير
bell,نداء,جرس
benchmark test,فحص  الأداء,اختبار مرجعي
bibliographic data base,قاعدة معطيات
bidirectional,ثنائي الاتجاه
bit,بت,بتة ثنائية ذرة,رقم ثنائي (بيتة),بيتة
bitmap,مصفوفة بتات,خارطة ثنائية,خريطة بيتات
bit per inch,بت في البوصة
bit per second,بت في الثانية
bit rate,سرعة بتات,معدل البت,معدل البيتات
blank,محو,فراغ,فارغ,انقطاع مفاجئ للطاقة الكهربائية,ينتج عنه ضياع البيانات أو تشويهها,وقد تتأثر به بعض المعدات مثل مشغلات الأقراص.
blank character,محرف بياض
blind carbon copy (BCC),نسخة كربونية خفية
blind search,بحث أعمى
blink,ومضان,وميض
blinking cursor,منزلقة وامضة,مؤشر نابض
block,كتلة,صد حظر كتلة,وحدة تجميعية
blue book,كتاب أزرق
board,لوحة
bold,داكن,ثخين
bold face,محرف داكن
bookmark,مؤشرة,علامة موقع,علامة,علامة الكتاب
boolean,بولياني,منطقي
boolean add,جمع بولياني
boolean algebra,جبر بولياني ,الجبر البولياني
boot,شروع,إقلاع
boot diskette,قريص الشروع
boot sector,قطاع الشروع,قطاع إنهاض الحاسوب
bootstrap,شروع,نظام تمهيد تشغيل الكمبيوتر,البادئ
bootstrap loader,محمل الشروع,محمل إقلاع
boot virus,فيروس الشروع,فيروس الإطلاق,فايروس إقلاع
box,علبة,مربع,صندوق
braces,لامتان
break,إشارة انقطاع,كسر
breakdown,عطل
bridge,جسر,قنطرة الإشارات
browse,تصفح
browser,متصفح
bug,عيب,علة
bug shooting,بحث عن العيوب
built-in,مدمج,مضمن,مراجعة ذاتية
bulletin board system (BBS),لوحة عرض المعلومات
bureautical computer,حاسوب مكتب
business data processing,معلوميات إدارة الأعمال
business user,مستعمل مهني
bus network,شبكة ناقلة,شبكة مسروية,شبكة خطية
busy,مشغول
byte,بايت,بايت جزئ
cable,حبل,كبل
cablecos,مقاولة تحبيل
cabling,تحبيل
cache memory,ذاكرة وسيطة,مخبأ
call,نداء,رد نداء (نظام)
cancel,إلغاء
capacity,وسع,سعة,سعة قناة الاتصال,سعة التخزين
capture,التقاط,التقاط   اقتناص,التقاط الصورة
card,بطاقة
cardeware,كاردوير
carriage return,رجوع العربة,رجوع إلى السطر,مرجع إلى السطر (محرف)
carrier,حاملة,حامل,ناقل
cartridge,خرطوشة,تتالي
catalog,فهرس,كتالوج,مسرد
catenation,تسلسل
cathode ray tube (CRT),أنبوب أشعة مهبطية
central control unit,وحدة التحكم المركزية,وحدة تحكم مركزية
central processing unit (CPU),وحدة معالجة مركزية
central unit,وحدة مركزية
chain,سلسلة,قيد
chaining search,بحث سلسلي
channel,قناة
character,محرف,حرف
character recognition,تعرف على المحارف,تمييز الرموز
character set,مجموعة محارف,مجموعة أحرف,طقم رموز
character string,سلسلة محارف,سلسلة رموز
chat,محادثة,دردشة
chat group,مجموعة دردشة
click,نقرة,نقر
click stream,تيار النقرات
client,زبون,عميل
clip art,صورة إلكترونية,قصاصة,قصاصة فنية,صور متاحة
clock,وقاتة,ساعة,ساعة (نابضة)
coaxial cable,حبل متحد المحور,موصل محوري,كبل متمحور
code,شفرة,قاعدة شفرة,كود,نظام ترميز للحاسوب,رمز الأمر,كود الذاكرة,نظام ترميز لعناوين متعددة,رمز رقمي
code conversion,تحويل شفرة
coder,مشفر
code translation,ترجمة شفرة
codification,تشفير
coding,إشفار,ترميز,صياغة البرامج
collating,دمج
color palette,لوحة ألوان
color printer,طابعة بالألوان
color scanner,مفراس بالألوان
colors reduction,تقليص الألوان
column,عمود
comma,فاصلة
command,آمرة,أمر
command menu,قائمة الآمرات
command structure,بنية آمرة
common gateway interface (CGI),وجيهة المعبر العامة
commutator,مبدل
compact disk,قرص متراص
compact disk burner,مسجلة الأقراص المدمجة
compaction,كبس,ضغط
compatibility,تلاؤم,توافق
component,مكون
computer,حاسوب,نظام ترميز للحاسوب,نظام حاسوب,حاسوب رقمي,حاسوب إلكتروني,حاسوب عام,حاسوب لغرض خاص,حاسوب تزامني,تركيبة الحاسوب (هيئة الحاسوب),منشأة حواسيب,خرج الحاسوب,تحكم بالحاسوب
computer-aided learning (CAL),تعليم بمساعدة الحاسوب
computer assisted design (CAD),تصميم بمساعدة الحاسوب
computer based library system,نظام مكتبات محوسب
computer center,مركز حاسوب
computer configuration,تشكيلة حاسوب
computer efficiency,فعالية حاسوب
computer expert,خبير حاسوبي
computer generated image,صورة مركبة بواسطة الحاسوب
computer generation,جيل حواسيب
computer graphics,رسوميات حاسوبية,بيانيات الحاسوب
computerize,حوسبة
computer network,شبكة حاسوبية,شبكة حواسب,شبكة حواسيب
computer science,علم الحاسوب,علم الحواسيب   علم الحاسبات
computer security,أمن الحاسوب,أمن الكمبيوتر
computer simulation,محاكاة على الحاسوب
computer system,نظام حاسوبي
computing speed,سرعة حساب
concatenation,سلسلة,الضم
concurrency,تنفيذ متآن,تزامن,تواقت
condition,شرط,تفريغ شرط
configuration,تشكيلة,تضبيط,نظام حاسوب,تركيبة الحاسوب (هيئة الحاسوب)
conflict,نزاع,تضارب,تناقض
connect cable,حبل الوصل
connector,واصل
console,مطراف,كونسول,وحدة التحكم والمراقبة
constant,ثابت
consult,اطلع على
contrast,تباين
control board,لوحة تحكم
control bus,مسلك مراقبة,مسار تجميعي للتحكم
control channel,قناة مراقبة
controller,مراقب,متحكم
convergence,تقارب,إحتشاد
conversational,تحاوري
conversational mode,منوال تحاوري
cookie,كوكي,كعكة
coprocessor,معالج اقتراني,معالج مساعد,مشغل مساعد
copy,نسخة,ينسخ
copy/paste,نسخ / لصق
copyright,حقوق التأليف,حقوق النشر,محفوظ الحقوق
corrective,تصحيحي
corrective maintenance,صيانة إصلاحية
counter,سجل,عداد
course,سير
cracker,مهرب,المتلصص
crash,عطب,انهيار,تلف وحدة الأقراص,تعطل النظام
crash area,محط الرأس
cursor,زالقة,مؤشر (الفأرة),مؤشر,أيقونة icon)
curve,منحنى,منحنية
custom,زبون,مخصص
custom application,تطبيق زبون
custom design,تشخيص
cut,قطع,قص
cut/paste,قطع/لصق
cybercash,نقد كهروبي
cybernetics,سيبيرنيتيكا,التحكم الآلي,السيبرنطيقا
cyberspace,فضاء سبرنيتيكي,دورة,الفضاء ( المتخيل )
cycle time,مدة دورة,زمن الدورة
daisy print wheel,لؤلؤية
dash,قاطعة,شرطة
data,معطيات,بيانات,صف البيانات,بيانات مودعة,صيغة البيانات,استرجاع البيانات,نمط البيان
data bank,بنك المعطيات,بنك بيانات
data base,قاعدة معطيات,قاعدة بيانات
data base administrator,مدبر قاعدة معطيات,مدير قاعدة معطيات,مدير قاعدة البيانات
data base key,مفتاح قاعدة المعطيات
data base management system,نظام تدبير قاعدة المعطيات
data base server,مزود قاعدات المعطيات,خادم قاعدة معطيات
data bus,مسلك معطيات,ناقل البيانات,مسار تجميعي للبيانات ( مسار بيانات)
data capture,مسك معطيات
data carrier,سناد معطيات
data channel,قناة معطيات,قناة البيانات
data communication,إرسال المعطيات,اتصالات البيانات
data compaction,كبس المعطيات
data compression,كبس المعطيات,ضغط بيانات,ضغط البيانات
data conversion,تحويل معطيات
data description language (DDL),لغة وصف معطيات
data entry,إدخال معطيات,إدخال البيانات
data error,غلط في المعطيات,خطأ في البيانات
data exchange,تبادل المعطيات
data field,مجال المعطيات
data file,ملف معطيات,ملف بيانات
data format,شوكل معطيات,صيغة البيانات
datagram,كتلة معلومات,حزمة بيانات (رسالة بيانات)
data hierarchy,تراتب معطيات,هرمية البيانات
data independence,استقلال معطيات,استقلال البيانات
data input,إدخال المعطيات
data locking,كمول معطيات,إزلاج معطيات
data management,تدبير معطيات
data manipulation language (DLM),لغة تناول المعطيات
data medium,وسيط معطيات
data output,إخراج المعطيات
data pen,قلم كهروبي
data processing,معالجة المعطيات,معالجة البيانات,تشغيل البيانات
data processing center,مركز معالجة المعطيات
data protection,حماية معطيات
data purification,اصطحاح معطيات,تنقية البيانات
data record,تسجيلة المعطيات
data reduction,تقليص معطيات
data reliability,وثوقية معطيات
data retrieval,استرجاع معطيات,استرجاع البيانات
data security,سلامة معطيات
data sink,مستقبل معطيات
data source,مصدر المعطيات
data speed,صبيب معطيات
data station,محطة المعطيات
data structure,بنية معطيات,بنية البيانات,هيكل البيانات
data transmission,إرسال المعطيات,إرسال البيانات
data type,صنف المعطيات,نوع البيانات
deactivate,إخماد,بطل
dead,معطل,عاطل,ميت
deadline,آخر أجل
deadlock,توقف محتوم,أزمة,مأزق,توقف بالتشابك,توقف تام
dead time,وقت ميت
debug,ضبط,تنقيح
debugging,ضبط,تضاؤل,علاج الأخطاء
debugging aids,أدوات تشخيص الأخطاء
debug program,مشخص الأخطاء
decibel,ديسيبيل
decimal,عشري
decoder,فكاك الشفرة,فك ضغط,فاك الكود
decrement,منقوص ثابت
decryption,فك الشفرة,فك تشفير
dedicated line,خط مكرس
default value,قيمة افتراضية,قيمة أصلية
defective,معيب
deferred delivery,توصيل مؤجل
deferred entry,دخلة مرجأة
deferred exit,خروج مرجأ
deferred printing,طبع مرجأ
delay,تأخير,مهلة
delete,محو,حذف
deletion,حذف
delimiter,محدد,محد
density,كثافة
descending order,ترتيب تنازلي
descriptor,واصف
design,تصور,تصميم
desk,مكتب,منضدة
destination terminal,مطراف مستقبل
detachable disk,قرص خلوع
detail file,ملف التفاصيل
development,تطوير
device,جهاز
device driver,قائد جهاز,مجموعة جهاز,مجموعة تجهيزات,برنامج توظيف أداة
diagnostic,تشخيص
diagram,مبيان,خطاطة
dialog,حوار
dial pulse,نبضة اتصال هاتفي
dial-up,ربط هاتفي,طلب هاتفي,مهاتفة,هاتفي
dial-up network,شبكة تبديلية
dichotomizing search,بحث تنصيفي
dichotomy,تنصيف
digit,رقم
digital,رقمي,حاسوب رقمي
digital cassette,سفطة رقمية
digital computer,حاسوب رقمي
digital signature,توقيع رقمي
digital sort,فرز رقمي
digital video disk (DVD),قرص فيديو رقمي
digitize,روقمة,رقمنة
direct access,ولوج مباشر
directory,مصنفة,دليل
directory structure,بنية شجرية
disabled,معطل
disconnect,فصل,قطع اتصال,أمر فصل
disk,قرص,تلف وحدة الأقراص,شريط أو قرص تسويد
disk buffer area,منطقة قرص وسيطة
disk directory,مصنفة قرص
disk drive,قارئة أقراص,محرك أقراص,وحدة تشغيل أقراص
disk formatting,شوكلة قرص
disk operating system ( DOS),نظام تشغيل على القرص
displacement,زيح,إزاحة
display,شاشة,عرض
display board,لوحة العرض
display device,جهاز عرض,جهاز العرض
display driver,قائد الشاشة
distributed data base,قاعدة معطيات موزعة,قاعدة بيانات موزعة
document,وثيقة,مستند
documentation,توثيق
document retrieval,استرجاع وثائق
document retrieval system,نظام استرجاع وثائق
domain,مجال,نطاق,مجال النشاط
domain name server (DNS),خادم أسماء المجالات
domain name system (DNS),نظام أسماء المجالات
dongle,مفتاح حماية,دنجل ( مفتاح تأمين التشغيل )
downloading,تنزيل
drag and drop,إزلاق,سحب وإفلات,سحب,ساحب,سحب وإسقاط,قائمة من أعلى لأسفل
driver,قائد,تعريف,دافع
drum scanner,مفراس ذو أسطوانة
duplicate,نسخة,نسخ,استنساخ...,مكرر
duplication check,مراقبة بالنسخ
echo,صدى,اختبار بالصدى
edition,نشر,تحرير,طبعة
editor,ناشر,محرر
efficiency,فعالية,نجاعة
eight-bit byte,بايت
eject,قذف,أقذف,يخرج
elapsed time,مدة منقضية
electronic bulletin board,خدمة البريد الإلكتروني
electronic data interchange (EDI),تبادل معطيات إلكترونية
electronic dictionary,قاموس إلكتروني
electronic filing,تربيد إلكتروني,نظام ملفات إلكتروني
electronic mail (e-mail,بريد إلكتروني
email),بريد إلكتروني,بريد (إلكتروني),بريد الكتروني
emitter,باث
empty value,قيمة فارغة
emulation,تمثيل,محاكاة
encode,أشفر,يرمز,ترميز
encryption,تشفير,ختام
end of file (EOF),نهاية ملف
end of text (ETX),نهاية نص
end of transmission (EOT),نهاية الإرسال
end page,صفحة النهاية
end user,مستعمل نهائي,مستخدم نهائي,مستخدم عادي
entry,دخلة,مدخلة,مدخل
environment,بيئة
equipment compatibility,تلاؤم التجهيزات
ergonomics,شغليات,دراسة بذل الجهد,برمجيات الأداء العضلي
error,غلط,خطأ
error detection,كشف الأغلاط
error diagnostic,تشخيص الأغلاط
error message,رسيلة غلط,رسالة خطأ,بلاغ أخطاء
escape (ESC),انفلات
Ethernet,إترنيت,أصول,انضباط,آداب,علم الأخلاق,إيثرنت
Europanet,أوروبانيت( شبكة)
evolutionary,تطوري
exchange,تبادل,سنترال تليفونات
executable,قابل للتنفيذ,تنفيذي
execute,نفذ,تنفيذ
execute time,مدة التنفيذ
exit,خروج
expansible,قابل للامتداد
expert system,نظام خبير
export,تصدير
extension,توسع,امتداد
extraction,استخراج
failure,فشل,عطل  تعطل,متوسط المدة بين الأعطال,متوسط المدة قبل التعطل
fatal error,غلط حاسم,خطأ فادح,خطأ مميت
faulty,معيب,مصدوع,غلط
favorite,مفضل,منتخب,المفضلة
favorites folder,مجلد مفضلات
fax,نسخ عن بعد,فاكس
feasibility study,دراسة جدوى,دراسة الجدوى
feed,تزويد,تلقيم,تغذية
fetch,فتش,جلب
fiber optics,ليفة ضوئية,علوم,تقنية بصريات الألياف
fiche,جذاذة
field,حقل
fielding,تنطيق
file,جذاذية,ملف,شفرة التوصل للملف,متيح ملفات
file attribute,سمة ملف,مسندات ملف
file collating,دمج الملفات
file descriptor,واصف الملف
file directory,مصنفة ملفات,دليل الملفات
file extension,امتداد ملف,إمتدادة الملف
file extent,حجم ملف
file maintenance,صيانة ملف,صيانة الملفات
file management,تدبير ملف,إدارة الملفات
file manager,مدبر ملف
file name,اسم الملف,اسم ملف
file protection,حماية ملف,وقاية الملف
file recovery utility,نفعية استرداد الملفات
file sharing,تشارك في ملف,التشارك في الملفات
file structure,بنية ملف
file transfer,نقل ملف,نقل الملف
file transfer protocol (FTP),بروتوكول نقل الملفات
filter,مرشحة,مرشح
firewall,واقية من النار,جدار ناري,حاجز حماية
firmware,برنامج مصنعي,الزبون الأول,البرمجيات الثابتة
fixed disk,قرص ثابت,قرص مثبت
flashing,وميض
flat scanner,مفراس منبسط
flexible,مرن
floating menu,قائمة خيارات عائمة
floppy disk,قريص,قرص مرن
flowchart,خريطة مسار المعلومات,مخطط جريان,قائمة التدفق,خريطة المسار
flow diagram,مبيان انسيابي
folder,مجلد
font,طقم المحارف,خط,بنط طباعة
footing,أسفل الصفحة
footnote,حاشية سفلية,حاشية
foreground,مستوى أمامي,أمامية المنظر,أمامية اللوحة
form,استمارة,شكل
format,شوكل,تهيئة,تنسيق,نسق,صيغة البيانات
formatting,شوكلة
form feed,تخطي الصفحة,صيغة,تلقيم بالورق
frame,إطار
freeware,برمجية مجانية,برمجيات مجانية,برنامج مجاني
frequency,تردد,تواتر
frequently asked,أسئلة مترددة
full size display,عرض بكامل الشاشة
functionality,وظيفية,التأدية الوظيفية
function key,مفتاح وظيفي,مفتاح وظيفة
furtive virus,فيروس خفي
gateway,معبر,بوابة,مدخل/مخرج   وصلة بوابية
generator,مولد,مولد البرامج
glitch,مصعب,شائبة,علة,خلل
global system for mobile communication (GSM),نظام عام للاتصال المتحرك
glossary,مسرد
gopher,غوفر,جوفر
graphic,رسم بياني,رسومي
graphic data processing,معلوميات رسومية
graphic display,عرض رسومي
graphic interchange format (GIF),شوكل التبادل الرسومي
graphics,رسوميات,بيانيات
graphics 3-D,رسوميات في ثلاثة أبعاد
graphics board,لوحة رسومية
graphics software,برمجية رسومية
grid,شبك,شبيكة
groupware,برمجية جماعية,نمو,تضخم,عتاد المجموعة,برنامج للاستخدام الجماعي
guest status,وضعية ضيف
hacker,قرصان,هاكر,الفضولي
halt instruction,تعليمة التوقف
hand-held computer,حاسوب جيبي
handler,مدبر,مداول,مناول
hand scanner,مفراس يدوي
hang-up,توقف غير متوقع,تعليقة,ينهي المكالمة
hard copy,نسخة ورقية,نسخة مطبوعة
hard disk,قرص صلب,قرص ثابت
hardlock,مفتاح حماية إلكتروني
hardware,عتاد,المكونات المادية
head,رأس,ترويسة,رأس التسجيل
header,ترويسة,أداة تسجيل البيانات أو استرجاعها في أجهزة التخزين المغنطيسية.
head of form (HOF),أعلى الصفحة
help,مساعدة
hertz (Hz),هرتز
heterogeneous network,شبكة غير متجانسة
hidden,مخفي,مختبئ
hierarchical data base,قاعدة معطيات تراتبية,قاعدة بيانات شجرية
hierarchy,تراتب,شجرة
highlight,سطوع فائق,إبراز
high memory area,منطقة عالية من الذاكرة,منطقة ذاكرة عالية
high resolution,دقية عالية
histogram,مدراج,رسم بياني نسيجي,مدرج تكراري,هستوجرام
hit,ضربة,معدل الاصابة,إصابة
holding time,مدة شغل الخط
home directory,رأس المصنفة,دليل رئيسي
home page,صفحة البداية,صفحة رئيسية
homogeneous computer network,شبكة حاسوبية متجانسة
horizontal scrollbar,شريط تمرير أفقي
host,مضيف
host computer,حاسوب مضيف,حاسوب مضيف ( مثوى)
hot line,خط مباشر
hunting,تصيد
hybrid,هجين
hybrid computer,حاسوب هجين
hyperlink,رباط التشعب,وسائط ترابطية,رابطة تشعبية
hypermedia,وسائط متشعبة,وسائط ترابطية,وسائط تشعبية
hypertext,نص متشعب,نص فائق,متن مفرط
hypertext link,ربط نص متشعب
hypertext markup language (HTML),لغة وسم النصوص المتشعبة
hypertext transfer protocol (HTTP),بروتوكول نقل النص المتشعب
icon,أيقونة
illegal,غير جائزة,إضائة,تنوير
illegal character,محرف ممنوع,رمز غير مقبول
illegible,لا يقرأ
image,صورة,التقاط الصورة,ماسحة الصور
image processing,معالجة الصورة,معالجة الصور,تشغيل الصور
immediate access,ولوج فوري
immediate delivery,إيصال فوري
immediate processing,معالجة فورية
import,استيراد
inactive,خامل,حالة متوقفة
inbuilt,مدمج
incident,طارئ
incompatible,غير متلائم,غير متوافق
inconsistency,عدم الاتساق
increment,مضاف ثابت,مزيد ?
indent,إزاحة,مسافة البدء
indentation,عملية الإزاحة,إزاحة
index,ثبت,مثبت,فهرس,مؤشر
indexing,مثبتة,دال,مؤشر
index table,جدول الأثبات
inference,استنباط,الحد الأدنى الأعظم,استقراء
inference engine,محرك استنباط,الحد الأدنى الأعظم,عنصر الاستنباط
informatician,معلومياتي
informatics,معلوميات,المعلوماتية
information,معلومة,معلومات
information gathering,تجميع المعطيات
information input,إدخال  المعلومات
information processing,معالجة المعلومات,تشغيل المعلومات
information retrieval,استرجاع معلومات,استرجاع المعلومات
information retrieval system (IRS),نظام استرجاع معلومات
information storage and retrieval,تخزين معلومات واسترجاعها
information superhighway,طريق سيار للمعلومات,تحت أحمر,مسار معلومات فائق السرعة
information system,نظام المعلومات
information technology,تقانة المعلومات,تكنولوجيا المعلومات
initialization,استفتاح,تمهيد,استهلال,ابتداء
initiation,إطلاق
inkjet printer,طابعة نافثة حبر,طابعة حبر,طابعة نفاثة
input data,مدخلات
input device,جهاز إدخال,أداة إدخال
input/output device,جهاز إدخال/إخراج
input/output (I/O),دخل/ خرج
input/output port,بوابة الدخرجة
input port,بوابة الدخل
input scanner,مفراس ذو دخلة
input work queue,صف انتظار الإدخال
inquiry,استفسار,استعلام
inquiry station,محطة استفسار
insertion,إدراج
installation,إرساء,تثبيت,منشأة حواسيب
instruction,تعليمة,رمز الأمر,أمر
integer,عدد صحيح
integrated circuit,دارة متكاملة,بيئة التطوير المتكامل
integrated service digital network (ISDN),شبكة خدمة رقمية مدمجة
integration,إدماج,دمج
integrity,كمول,تكامل
intelligence,ذكاء
intelligent terminal,مطراف ذكي,نهاية طرفية ذكية
interactive,تفاعلي
interactive access,ولوج تفاعلي
interactive mode,منوال تفاعلي,نمط تفاعلي
interactive system,نظام تفاعلي
interchange,تبادل
interconnection,وصل بين
interface,وجيهة,واجهة,أداة بينية
interfacing,وصل
interference,تداخل
interfering signal,إشارة مشوشة
interlinear spacing,فسحة بين السطور
interlock,إزلاج
internal label,علامة التعرف الداخلية
international standard book number (ISBN),رقم الكتاب المعياري الدولي
international standard organization (ISO),المنظمة الدولية للمواصفات
international standard serial number (ISSN),الرقم المعياري التسلسلي الدولي
internaute,مستعمل الإنترنيت
internet control message protocol (ICMP),بروتوكول إنترنيت للتحكم في الرسائل
Internet (INTERconnection NETwork),إنترنيت
internet protocol (IP),بروتوكول إنترنيت
internet protocol next generation (IPNG),بروتوكول إنترنيت للجيل القادم
internet provider,مزود خدمات إنترنيت
internet registry (IR),مصلحة التسجيل على الإنترنيت
internet relay chat (IRC),محادثات التناوب على الشابكة
internet search engine,محرك بحث في الإنترنيت
internet service provider,مزود خدمات الإنترنيت
internet society (ISOC),جمعية إنترنيت
interrogation,مساءلة,استجواب
interrupt,انقطاع,مستوى أولوية الإنقطاع,مقاطعة
interrupt request,طلب انقطاع,طلب الإنقطاع
interword spacing,فسحة بين الكلمات
intranet,إنترانيت,إنترانت,انترانت
invalid,غير صالح,عكس
inverted file,ملف معكوس
IP address,عنوان إنترنيت,عنوان IP
iterative process,سيرورة ترديدية
joystick,مقبض التحكم,عصا الألعاب,عصا القيادة
jump,قفز,تجاوز,قفز مشروط,قفز غير مشروط
justification,ضبط السطور,محاذاة,تصفيف
juxtaposition,تجانب
key,مفتاح,ارتباط المفتاح,مفتاح أساسي
keyboard,لوحة مفاتيح
keyboarding,إدخال بواسطة لوحة المفاتيح
keyboard layout,تموضع المفاتيح في لوحة المفاتيح
keyboard shortcut,مفتاح اختصار
key lock,رتج مفاتيح,مفتاح
keyset,لوحة مفاتيح
keys locking,إزلاج مفاتيح
keystroke,رقن,ضغطة زر
keyword,كلمة مفتاح,كلمة أساسية,كلمة مفتاحية,مفتاح البحث,كلمة كاشفة (كلمة مخصصة)
kit,عدة,مشكلة فى الحقيبة
knob,زر
knowledge base,قاعدة معارف
knowledge base system,نظام معرفي
language,لغة,لغة برمجة
language translation,ترجمة لغة
language translator,مترجم لغة
laptop computer,حاسوب محمول
laser printer,طابعة ليزرية,طابعة ليزر
last in first out (LIFO),آخر داخل أول خارج
latching,إزلاج
launching,إطلاق
layer,طبقة
layout,توضيب,تخطيط
leading,فسحة بين السطور,أولي,رئيسي,قيادي
leased line,خط مخصص,خط مؤجر,خط مستأجر
left justification,ضبط إلى اليسار
left shift,إزاحة إلى اليسار
length,طول
library automation,أتمتة المكتبة
