analog to digit converter,مُحَوِّلُ تَناظُرِيُّ إلى رَقْمِيٍّ
address part,خانَةُ العُنْوان
address register,مُسَجِّلُ العُنْوانِ
address resolution,مضاهاة العناوين
ARP,بروتوكول مضاهاة العناوين
address space,حَيِّزُ العُنْوانِ
address strobe,ومضة العنوان
addressable location,مَوْقِعٌ يُعَنْوَنُ
addressable point,نُقْطَةٌ تُعَنْوَنُ
addressable point,موضع يُعَنْوَنُ
addressing,العَنْوَنَة
schemes,أنْماطُ العَنْوَنَةِ
adduction,استنباط عكسي
-2.,طريقة استنباط في الذكاء الاصطناعي. تنص على أنه إذا كان أ ب فإن ب أ وهذا ليس صحيحًا دائمًا فمثلا:
adhoc,ظرفي
adhoc query,استعلام خاص
adjacency matrix,مَصْفُوفَةُ الجِوارِ
adjust text,ضَبْطُ الهَوامِشِ
adaptive differential pulse code modulation,تضمين مشفر نبضات بالمواءمة الفرقية
asymmetrical digital subscriber line,خط اشتراك رقمي غير متماثل
ADN,شبكة رقمية متطورة
advanced power management,إدارة متطورة للطاقة
ARPA,وكالة مشروعات وأبحاث متطورة ( أربا)
ATA,أداة ربط متطورة تكنولوجيًّا (أتا)
ATAPI,أداة بينية متطورة تكنولوجيًّا (أتابي)
advocacy websites,مواقع ترويجية على الوِيب
adware,برنامج دِعائي
away from keyboard,تعذر الرد
agenda mechanism,آلية لجدول أعمال
agent program,برنامج عميل
alarm, audible,إنْذارٌ مَسْمُوعٌ
alert box,نافذة تنبيه
algebraic symbol manipulation,لُغَةُ مُعالَجَةِ الرُّمُوزِ الجَبْرِيَّةِ
ALGOL,ألجول
algorithm,خوارِزْم
algorithmic language,لُغَةٌ خوارِزْمِيَّةٌ
alias,كُنْيَة
aliasing,شرشرة
alignment, data,صَفُّ البَياناتِ
allocation,تَخْصِيص
allocation routine,بَرْنامَجُ تَخْصِيصٍ
alpha test,اختبار ألفا
alphabetic code,كود هجائي
alphabetic string,سِلْسِلَةٌ هِجائِيَّةٌ
alphanumeric,هِجائِيَّةٌ رَقْمِيَّةٌ
alphanumeric code,كود هِجائِي رَقْمِي
alphanumeric string,سِلْسِلَةٌ هِجائِيَّةٌ رَقْمِيَّةٌ
alt hierarchy,الهيئة البديلة
alternate route,مَسْلَكٌ بَديلٌ
alternate routing,تَوْجِيهٌ بَديلٌ
ALU,وحدة حساب ومنطق
America on line (AOL) information service,خدمة " أمريكا المباشرة " للمعلومات
amplifier,مُضَخِّم
amplitude modulation,تَضْمِينُ السَّعَةِ
analog (analogue) signal,إشارَةٌ تَناظُرِيَّةٌ
analog computer,حاسوب تَناظُرِيٌّ
A/D converter,مُحَوِّلٌ تَناظُرِيٌّ إلى رَقْمِيٍّ
analysis (network, program, system),تَحْلِيلُ ( شَبَكَةٍ، بَرْنامَجٍ، نِظامٍ)
analyst, system,محَلِّلُ نُظُمٍ
ancestor,سَلَف
analyzer,مُحَلِّل
anchor,مِرْساة (مِخْطاف)
AND gate,بَوَّابَةُ "واو العَطْفِ"
AND operation,عَمَلِيَّةُ "واو العَطْفِ"
animation,توليد الحركة للصور ظاهريًّا
annotation,حاشِيَة
anonymity,الحَجْب
anonymous,مجهول الهُوِيَّة
anonymous FTP,تبادل ملفات مع الحَجْب
anonymous post,موقع الحجب
anonymous remailer,وسيطٌ حِجُوب
anonymous server,خادم حجوب
ANSI,أنْسي
answering machine,وَحْدَةُ إجابَةٍ
anti-aliasing,تنعيم الحافات
anticipatory fetching,إحضار مسبق
anticipatory paging,تَصَفُّحٌ تَوَقُّعِيٌّ
antisymmetric relation,علاقَةُ تَماثُلٍ مُضادٍّ
antivirus program,برنامج مضاد للفيروسات
aperture,فُتْحَة
application program interface,برنامج تطبيقي بيني
APL,ايه بي إل
advanced power management,الإدارة المتطورة للطاقة
append,إلْحاق
applet,برنامج مُدْمَج (أبلت)
application development system,نظام تطوير التطبيقات
application generator,مُوَلِّد تطبيقات
application layer,طَبَقَةُ التَّطْبيقاتِ
application of virtual machine,تطبيق نظام المكنة المفترضة
VMS ),نظام إلى بمكونات خاصة ( مادية وبرامج )، يحقق إتاحة نظام التشغيل في إم إس   (VMS)  لعدد من المستخدمين في نفس الوقت مع تمتع كل منهم بمزايا المستخدِم الوحيد.
application package,حُزْمَةُ بَرامِجِ التَّطْبِيقِ
application program,بَرْنَامَجُ التَّطْبِيقِ
ASIC,دائرة متكاملة محددة الوظيفة (أسيك)
Appware,أب وِير
archie,آرشى ( نظام خدمة دليل)
architectural protection,حماية البنية
architecture,بنية الحاسب
archived file,مِلَفٌّ مُؤَرْشَفٌ
archiving,أرْشَفَة
ALU,وَحْدَةُ حِسابٍ ومَنْطِقٍ (و ح م)
arithmetic organ,وَحْدة حسابية
arithmetic exception,اِسْتِثْناءٌ حِسابِيٌّ
arithmetic expression,تَعْبِيرٌ حِسابِيٌّ
arithmetic instruction,أمْرٌ حِسابِيٌّ
arithmetic overflow,فيضان حِسابِيٌّ
arithmetic underflow,غَيْضٌ حِسابِيٌّ
autoregressive moving average,التَّحْلِيلُ بالتَّراجُعِ وبالمُتَوَسِّطِ المُتَحَرِّكِ ( أرما )
advanced research projects agency network,شَبَكَةُ أربا (أربانِت)
array,مَنْظُومَة (صفيف)
array processor,مُشَغِّلُ مَنْظُوماتٍ
cut vertex,عُقْدَةُ المَفْصِلِ
artificial intelligence,ذَكاءٌ اِصْطِناعِيٌّ
American standard code for information interchange,آسكي
assembler language,لغة المُجَمِّع
assembler,مُجَمِّع
assembly language,لُغَةُ التَّجْمِيعِ
assembly program,بَرْنامَجٌ تَجْمِيعِيٌّ
assertion,اِفْتِراضٌ صَحِيحٌ
assignment,تَعْيِين
assignment statement,جُمْلَةُ تَخْصِيصٍ
ACM,رابطة الآلات الحاسوبية
associative addressing,عَنْوَنَةٌ بالمَضْمُونِ
associative memory,ذاكِرَةُ المَضْمُونِ
astable,لا مُسْتَقِرّ
asterisk,نَجْمَة *
asymmetric relation,عِلاقَةٌ لاتَماثُلِيَّةٌ
asynchronous,لاتَزامُنِيّ
asynchronous data transfer,نَقْلٌ لامُتَزامِنٌ للبَياناتِ
asynchronous device,أداةٌ لاتَزامُنِيَّةٌ
attention command set,مجموعة أوامر الانتباه
ATA / IDE hard disk drive,مشغِّل أقراص صلدة متكامل
ATA hard disk drive card,بطاقة تشغيل الأقراص الصلدة
advanced technology attachment packet interface,حزمة بينية مرفقة للتكنولوجيا المتطورة
asynchronous transfer mode,أسلوب نقل لاتزامني
ATM switch,مفتاح إلكتروني يعمل بأسلوب النقل اللاتزامني
atom,ذَرَّة
Atomicity,الذَّرِّية
attach,أمر وَصْل
attachment,مُرفق
attenuation,تَوْهِين
attribute,صِفَةٌ مُمَيِّزَةٌ (سِمَة)
ATX,إيه تي إكس
audio response unit,وَحْدَةُ اِسْتِجابَةٍ سَمْعِيَّةٍ
audit trail,سِجِلُّ المُراجَعَةِ
audit log,سِجِلُّ المُراجَعَةِ
augmenting,زِيادَة
authentication,الاِسْتيثاق
authoring language,لُغَةُ تأْليفٍ
authoring tool,أداة تأليف
authorization,تَفْوِيض
auto start,البَدْءُ الأوتوماتي
auto disconnect,قطع الاتصال ذاتيًّا
auto boot,البَدْءُ الأوتوماتي
autocomplete,تكملة تلقائية (أوتوماتية)
autocorrect,تصويب تلقائي (أوتوماتي)
autodecrement,إنْقاصٌ ذاتِيٌّ
autoincrement,زِيادَةٌ ذاتِيَّةٌ
autoindexing,فَهْرَسَةٌ ذاتِيَّةٌ
autoload,تَحْمِيلٌ ذاتِيٌّ
automate theory,نَظَرِيَّةُ المٌماثِلاتِ
automatic abstracting,تَلْخِيصٌ ذاتِيٌّ
ACD,توزيع المكالمات أوتوماتيَّا
automatic error correction,تَصْحِيحُ الأخْطاءِ تلقائيًّا
automatic error detection,اِكْتِشافُ الأخْطاءِ تلقائيًّا
automatic fallback,الإبطاء الأوتوماتي
automatic field duplication,نَسْخُ الحَقْلِ تلقائيًّا
automatic gain control,التَّحَكُّمُ الأوتوماتي في الكَسْبِ
automatic programming,بَرْمَجَةٌ أوتوماتية
automatic restart,إعادَةُ البَدْءِ أوتوماتيَّا
automatic routing,اِخْتِيار أوتوماتي للمَسارِ (تَوْجِيهٌ ذاتِيٌّ للمَسارِ)
automatic switching center,مركز تحويل أوتوماتي (سنترال أوتوماتي)
cash dispenser,صرَّافة أوتوماتيَّة
AVR,التعرُّف الأوتوماتي على الصوت
AVR,الاستجابة الصوتية الأوتوماتية
AVR,المُنظم الأوتوماتي للجهد (للفولتية)
ACU,وَحْدَةُ نِداءٍ ذاتِيٍّ
automation,تَشْغِيلٌ أوتوماتي (أوْتَمَة)
automaton,أوتوماتون
autoplay,تشغيل ذاتي
auto-recalc,إعادة الحسابات أوتوماتيًّا
auxiliary equipment,أجْهِزَةٌ مُساعِدَةٌ
auxiliary memory,الذاكِرَة المُساعِدَة
availability,إتاحِيَّةُ التَّشْغِيلِ
available time,الزَّمَنُ المُتاح
avatar,أفاتار( تشخيص )
audio video interleave,تعاقب الصوت والصورة
AZERTY,أزيرتي
,نظام فرنسي لتوزيع الحروف اللاتينية على لوحة مفاتيح الآلة الكاتبة والحاسوب. يتميز بأن الصف العلوي للحروف يبدأ من اليسار بترتيب حروف الكلمة  AZERTY.
babble,لغط
backbone,الهيكل
backbone network,الشَّبَكَةُ الأساسِيَّةُ
backdoor,باب خلفي
backend processor,مُشَغِّلٌ ظَهيرٌ
background processing,تَشْغِيلٌ في الخَلْفِيَّةِ
background program,بَرْنامَجٌ في الخَلْفِيَّةِ
background reflectance,الانعكاسية الخلفية
backing memory,ذاكِرَةٌ مُسانِدَةٌ
secondary storage,خازِنَةٌ مُسانِدَةٌ
backspace,حَرَكَةٌ خَلْفِيَّةٌ
backtracking,قُفُول، بحث ارتدادي
backup,نسخ احتياطي
backup copy,نسخة اِحْتِياطِيَّة
backup file,مِلَفٌّ اِحْتِياطِيٌّ
backup system,نِظامُ تَشْغِيلٍ اِحْتِياطِيٌّ
BNF,صِيغَةُ باكوس نور
Backus normal form,صيغَةُ باكوس نور
backwards compatible,توافق رجعي
balance, node,تَوازُنُ العُقْدَةِ
balloon help,مساعدة بالونية
band,نِطاق
band stop filter,مُرَشِّحٌ مُوَقِّفٌ نِطاقِيٌّ
band reject filter,مُرَشِّحٌ مُوَقِّفٌ نِطاقِيٌّ
band-limited channel,قَناةٌ مَحْدُودَةُ النِّطاقِ
bandpass filter,مُرَشِّحٌ نِطاقِيٌّ
bandwidth,مرشح يسمح بمرور الإشارات الكهربائية التي تتراوح تردداتها بين قيمتين محددتين ويضعف مَّا عداها.
bang,إشارة تنبيهية
bank switching,تبديل بنك الذاكرة
banner,لافتة
banner advertisement,شريط الإعلان
banner page,صفحة لافتة
barcode,شِفْرَةُ القُضْبانِ
bar code scanner,قارئ شفرة القضبان
base,أساس
10 Base 2,10أساس 2
10 Base 5,10أساس5
10 Base F,10أساس  F
10 Base T,10أساس   T
fast Ethernet‎,إيثرنت سريعة
base address,عُنْوانٌ أساسٌ
baseband transmission,إرْسالُ النِّطاقِ الأساسِيِّ
BASIC,بيزيك
Beginners All-purpose Symbolic Instruction Code.,لغة من لغات الحاسوب تستخدم أساسًا في الأغراض التعليمية، ويتكون المصطلح الأجنبي من أوائل حروف الكلمات البادئة للعبارة:
BIOS,نظام أساسي للتحكم في مُدخلات ومُخرجات الحاسوب
batch,دُفْعَة
batch control,تَحَكُّمٌ دُفْعِيٌّ
batch processing,تَشْغِيلٌ بالدُّفْعَةِ
batch queue,طابُورُ الدُّفْعاتِ
baud,بود
baud rate,مُعَدَّلُ بود
binary coded decimal,تَكْوِيدٌ ثُنائِيٌّ للأرْقامِ العَشْرِيَّةِ
beam store,خازنة تُنشط إلكترونيًّا
beat,نبضة
benchmark,أساسُ تَقْيِيمِ الأداءِ
benchmark test,اختبار مرجعي
bit error rate,مُعَدَّلُ الخَطَأِ في البيتَّاتِ
best fit,التَلاؤُمُ الأفْضَلُ
beta test,اختبار بيتا
bias,اِنْحِياز
bidirectional transfer,نقل ثنائي الاتجاه
big seven hierarchy,الهيئات السبع الكبرى
binary,ثُنائِيّ
binary code,كودٌ ثُنائِيٌّ
BCD,كودٌ ثُنائِيٌّ للأرْقامِ العَشْرِيَّةِ
binary coded octal,كودٌ ثُنائِيٌّ للأرْقامِ الثمانِيَّةِ
bit,رَقْمٌ ثُنائِيٌّ (بيتَّة)
binary number system,نِظامُ تَرْقِيمٍ ثُنائِيٌّ
binary operation,عَمَلِيَّةٌ ثُنائِيَّةٌ
binary program,بَرْنامَجٌ  ثُنائِيٌّ
binary search,بَحْثٌ ثُنائِيٌّ
binary search algorithm,خَوارِزْمُ بَحْثٍ ثُنائِيٍّ
binary tree,شَجَرَةٌ ثُنائِيَّةٌ
bind,رَبْط
binding,التزام
binding time,زَمَنُ الرَّبْطِ
BinHex,بنهكس
bio computer,حاسوب حيوي
bionics,البيونيات
biometrics,علم القياس البيولوجي
bionics,الهَنْدَسَةُ الحَيَوِيَّةُ
basic input/output system,النظام الأساسي للإدخال والإخراج
biosensor,مُسْتَشْعِرٌ حَيَوِيٌّ
bipartite graph,مَخَطَّطٌ ذُو شِقَّيْنِ
bipolar signal,إشارَةٌ ثُنائِيَّةُ القُطْبِ
bistable circuit,دائِرَةٌ ثُنائِيَّةُ الاِسْتِقْرارِ
BISYNC,بايسنك
bit,بيتَّة
16-bit,16- بيتة
64-bit,64- بيتة
bit density,كَثافَةُ البيتَّاتِ
BER,مُعَدَّلُ الخَطَأِ في البيتَّاتِ
bit interleaving,تَعْشِيقُ البيتَّاتِ
bit manipulation,مُعالَجَةُ البيتَّاتِ
bit map graphics,صُوَرُ خَرِيطَةِ البيتَّاتِ
bit mapped display,عَرْضُ البيتَّاتِ
bit mapped graphics,رسومات خريطة البيتات
bit pattern,نَسَقُ البيتَّاتِ
bit rate,مُعَدَّلُ البيتَّاتِ
bit shifting,إزاحَةُ البيتَّاتِ
bit significance,دَلالَةُ البيتَّاتِ
bit slice architecture,بِنْيَةُ شَرائِحِ البيتَّاتِ
bit test instruction,أمْرُ اِخْتِبارِ البيتَّاتِ
bit block transfer,نقل حزم البيتات
bitmap,خريطة بيتات
bitnet,بت نت
black list,لائحة سوداء
blackberry,بلاك بيري
blackout,انقطاع الطاقة
blank,انقطاع مفاجئ للطاقة الكهربائية، ينتج عنه ضياع البيانات أو تشويهها، وقد تتأثر به بعضُ المُعدَّات مثل مُشَغِّلات الأقراص.
blanking,مَحْو
bleeding,نزْف
,خروج نقط من الحبر عن النطاق المحدد لطباعة البيانات.
BCC,نسخة كربونية مستترة
blind signature,توقيع مستتر
blinking,وَمْض
blip,إشارَةٌ ضَوْئِيَّةٌ
bloatware,برنامج كبير
block,وَحْدَةٌ تَجْمِيعِيَّةٌ
block diagram,مُخَطَّطٌ تَجْمِيعِيٌّ
block format,صيغَةُ الوَحْدَةِ التَّجْمِيعِيَّةِ
block gap,فَجْوَة بَيْنَ الوَحَداتِ التَّجْمِيعِيَّةِ
block handler (block handling routine),مُناوِلُ الوَحَداتِ التَّجْمِيعِيَّةِ (بَرْنَامجُ الوَحداتِ التَّجْمِيعِيَّةِ)
block header,مُقَدِّمَةُ الوَحْدَةِ التَّجْمِيعِيَّةِ
block indexing,فَهْرَسَةُ الوَحَداتِ التَّجْمِيعِيَّةِ
block length,طُولُ الوَحْدَةِ التَّجْمِيعِيَّةِ
block multiplexing,مُضاعَفَةٌ بالوَحَداتِ التَّجْمِيعِيَّةِ
block paging,اِسْتِدْعاءُ وَحَداتٍ  تَجْمِيعِيَّةٍ
block structured language,لُغَةٌ تَجْمِيعِيَّةُ التَّرْكِيبِ
blocked process,عَمَلِيَّةٌ مُعَوَّقَةٌ
,عملية متوقفة لاحتياجها إلى مصدر غير متاح.
blocking factor,عامِلُ التَّجْمِيعِ
blocking software,برنامج المنع
blue ribbon campaign,حَملة الشريط الأزرق
blueprint,مُخَطَط
bluetooth,بلوتوث
BNC connector,وصلة بي إن سي
Backus normal form,صيغَةُ باكوس ونور
board,لَوْحَة
bobbin core,قلب ملف مغنطيسي
BOLERO,بوليرو
bookmark,علامة الكتاب
boolean,بوليانِيّ
boolean algebra,الجَبْرُ البوليانِيُّ
boolean function,دالَّةٌ بوليانِيَّةٌ
boot ( booting ),إنهاض الحاسوب
boot block,وحدة إنهاض الحاسوب
boot disk,قرص إنهاض الحاسوب
boot drive,مُشغِّل إنهاض الحاسوب
boot failure,فشل إنهاض الحاسوب
boot loader,محمِّل برنامج إنهاض الحاسوب
boot partition,جزء إنهاض الحاسوب
boot sector,قطاع إنهاض الحاسوب
boot sequence,تسلسل إنهاض الحاسوب
bootstrap,البادِئ
bootstrap input program,برنامج إدخال بادئ التحميل
borrow, arithmetic,مُسْتَعارٌ حِسابِيٌّ (مرحِّل حسابي سالب)
BOT marker,عَلامَةُ بَدْءِ الشَّرِيطِ
bottleneck,اختناق
bottom up development,تَطْوِيرٌ مِنْ أسْفَلَ لأعْلَى
bottom up parsing,إعْرابٌ مِنْ أسْفَلَ لأعْلَى
bounce,ارتداد
bound register,مُسَجِّلُ الحَدِّ
bpi (b/i),بيتَّة / بوصَة
bps (b/s),بيتَّة / ثانِيَة
jump instruction,أمْرٌ بالقَفْزِ
branch point,نُقْطَةُ تَفَرُّعٍ
parent node,عُقْدَةُ تَفَرُّعٍ
bread board,لَوْحَةُ تَجارِب
breadth first search,بَحْثٌ بالعَرْضِ أولاً
break point,نُقْطَةُ تَوَقُّفٍ
bric,ذاكرة طرفية
bridge,قنطرة الإشارات
bridge limiter,محدد قنطري
bridge ware,عتاد قنطري
brightness,سطوع
broadband,نطاق عريض
broadband network,شَبَكَةٌ واسِعَةُ النِّطاقِ
broadcasting,نَشْر
brouter,قنطرة موجهة
brush,فرشاة
BSC,بي.إس.سي
bubble memory,ذاكِرَةٌ الفُقَّاعاتِ
bubble sort,فَرْزٌ فُقَّاعِيٌّ
bucket,خانَة
buddy list,قائمة الأصدقاء
Buddy system,نظام المُصاحب
buffer,مُوازِن، وَسِيط
buffer pool,مُجَمَّعُ مَخازِنَ وَسِيطَةٍ
buffer register,مُسَجِّلٌ وَسِيطٌ
buffering,خزن مُوازِن
bug,عِلَّة
backing storage,خازِنَةٌ مُسانِدَةٌ
bullet,رمز بادئ
"white-space: pre;">	this is a bulleted text sequence,سبيل المثال:
bundling,تحزيم
bureau,مَكْتَب
burn,إحْراق
Burn in,اختبار الصلاحية
burst,حُزْمَة
burst mode,أسلوب الدُّفعات
burster,فاصِلَة
bus,مَسارٌ تَجْمِيعِيٌّ
bus master,الجهاز المسيطر على المسار
bypassing,تَعْدِيَة
byte,بايت
,جزء من كلمة الحاسوب يتكون عادة من ثمانية أرقام ثنائية.
C,سي
c,سي شارب
cable,كَبل
cable delay,التأخير الكبلي
cash,كاش
cache RAM,رام حاضرة (كاش )
CAD,ك أ د
CAI,ك أ ي
CAL,ك أ ل
calculator,حَسَّابَة، حاسوبة
calendar time,الزمن المتاح
call by location,استدعاء بالموقع
call by name,استدعاء بالاسم
call by value,استدعاء بالقيمة
"white-space: pre;">,أمْرُ اِسْتِدْعاءٍ
call number,رقم استدعاء
callback,نداء عكسي
calling sequence,متتابعة استدعاءات
CAM,ك أ م
cancelbot,أداة إلغاء الرسائل
cancelmoose,مُبطِل أداة إلغاء الرسائل
capability architecture,قابلية البناء
capacitor store,خازنة المكثفات
capacity,سعة
capacity, common channel,سَعَةُ قَناةِ الاِتِّصالِ
capacity, storage,سَعَةُ التَّخْزِينِ
capstan,رَأْسٌ رَحَوِيَّةٌ
caption,إيضاح
capture,التقاط - اقتناص
capture, image,اِلْتِقاطُ الصُّورَةِ
CC,نسخة كربونية
card,بِطاقَة
card card transceiving,الإرسال والاستقبال بين بطاقتين
card checking,تدقيق البطاقة
card code,شفرة (كود) البطاقات
card face,وجه البطاقة
card field,مجال البطاقة
card image,الصورة الرقمية للبطاقة
card loader,مُحمِّل البطاقات
card machine,آلة بطاقات
card punch,ثاقِبَةُ بِطاقاتٍ
card reader,قارِئَةُ بِطاقاتٍ
card reproducer,وَحْدة نسخ البطاقات
card row,صف بطاقة
card sorter,مُرتِّبة بطاقات
card to disk conversion,التحويل من البطاقات إلى القرص
card verifier,محقِّق بطاقات
careware,برمجيات حافزة للتبرع
CR,رَمْزُ بَدْءِ السَّطْرِ
CSMA/CD,بروتوكول مراقبة الشبكة بالتوصل المتعدد وكشف التصادم
carrier signal,إشارَةٌ حامِلَةٌ
carry flag,مُؤَشِّرُ المُرَحَّلِ
carry lookahead,تَوَقُّعُ المُرَحَّلِ
carry, arithmetic,مُرَحَّلٌ حِسابِيٌّ
cartridge,خَرْطُوشَة
cascade,تتابع
CSS,أسلوب أوراق متتالية
case,خاصية في لغة  HTML تمكِّن مبرمجي الويب من تحديد نمط مَّا يمكن تطبيقه على أي عدد من الصفحات 0 ويمكن تطبيق أكثر من نمط على صفحة واحدة0 فمثلاً يمكن لمشرف موقع الويب تحديد نمط شامل لموقع الويب، ثم استخدام أنماط مختلفة لكل قسم من أقسام الموقع 0
cache,كاش
cassette tape,شَرِيطُ كاسِيتٍ
CAT,ك أ ت
catena,سلسلة
CCD,أداةُ الشَّحْناتِ المُتَرابِطَةِ
CCITT,المَجْمُوعَةُ الاِسْتِشارِيَّةُ الدَّوْلِيَّةُ للتِّلِغْرافِ والتِّليفونِ
comité consultatif international detelégraphique et teléphonique.,هيئة دولية لتنظيم العمل في مجال التلغراف والتليفون تصدر نشرات التوحيد القياسي، ويتكون المصطلح من الحروف البادئة للعبارة الفرنسية:
central control unit,وحدة تحكم مركزية
optical disk,قرص ضوئي)
CD-graphics,CD-erasable يمكن محوه وإعادة التسجيل عليه.
CD-I full motion video,green book  سى.دى.آى.أف إم في فيديو لتخزين صوت وصورة وحركة
CD-ROM extended architecture,سى. دى. روم ( للقراءة فقط )  CD-ROM
CD quality sound,صوت بجودة السى دى
CD ROM,سى دى روم
CD ROM density,كثافة الـ سي دي روم
CD ROM server,متيح سي دي روم
CD ROM extended architecture,سى دى روم ممتد البنية
conformite' Europe'ene,العلامة  CE
ceefax,سيفاكس
cell,خَلِيَّة
cell phone,هاتف خلوي
push down store,قعر قاع الذاكرة
cellular modem,مودم خلوي
censorship,رقابة
cent (Acoustics),سنت (صوتيات)
CPU,وَحْدَةُ تَشْغِيلٍ مَرْكَزِيَّةٍ
Centrino,سنترينو
COA,شهادة أحقية
colour graphics adapter,مهايئ لعرض الرسوم الملونة
colour/graphics/monochrome adapter,مهايئ لعرض الرسوم أحادية اللون
chadded tape,شريط مثقَّب به فتات
chain,سلسلة
chain command,أمر مسلسل
chained file,مِلَفٌّ تَسَلْسُلِيٌّ
chained list,قائمة مسلسلة
chained search,بَحْثٌ تَسَلْسُلِيٌّ
change dump,مَقلَب التغيرات
change record,سِجل التغييرات
channel,قَنَاة
character,حرف
character density,كثافة الحروف
character encoding,تَكْوِيد الرمز
display character generator,مُوَلِّدُ الحُرُوفِ
character reader,قارئة حروف
character recognition,تَمْيِيزُ الرُّمُوزِ
character set,طَقْمُ رُمُوزٍ
character string,سِلْسِلَةُ رُمُوزٍ
character word,كلمة حرفية
CCD,أداةُ الشَّحْناتِ المُتَرابِطَةِ
chassis,هَيْكَل (شاسيه)
chat,دردشة
chat slang,لغة عامية للدردشة
r u smart bcoz I need  some 1  smart?,كلمات أو أحرف تُستخدم للاختصار في غرف الدردشة بديلاً عن الكلمات الحقيقية،  وتكون عادة أصعب فهمًا لمن لم يألفوها، وعلى سبيل المثال:
internet relay chart,دردشة إنترنت
check character,رَمْزُ اِخْتِبارٍ
check digit,رَقْمُ اخْتِبارٍ
check number,رَقْمُ اِخْتِبارٍ
check point,نُقْطَةُ اِخْتِبارٍ
check process,عملية اختبار الأداء
check sum,مَجْمُوعٌ اِخْتِبارِيٌّ
check, built in,مراجعة ذاتية
check, transfer,اختبار تحويل
checking program,بَرْنامَجُ اِخْتِبارٍ (بَرْنامَجُ فَحْصٍ)
Chill,تشِلّ
chip,رُقاقَة
chipset,طقم رقاقات
cholestric LCD screen,شاشة كوليستيرية بلّورية سائلة
