advance research project agency network (Arpanet),شَبَكَةُ وَكَالَة مشَارِيعِ الأَبْحَاثِ المُتَقَدِّمَة
affix,لاَصِقَة
aid,أَدَاةٌ
aided,مُسَاعَد
alarm,إِنْذَارَ
alert,تَحْذَِير
alert message,رَسِيلَة تَحْذَِير
algorithm,خَوَارِزْمِيَّة
alias,مُكَنّى
aline,صَفّ
allotment,إسْنَاد
alphabet,أَلِفْبَاء
alphabetic character,مِحْرَف أَلِفْبَائِيّ
alphabetic character set,مَجْمُوعَة مَحَارِف ألفبائية
alphagraphical,أَلِفْبَائِيٌّ رُسُومِِيٌّ
alphanumeric,أَلِفْبَائِيٌّ عَدَدِيٌّ
alphanumeric sorting,فَرْزٌ أَلِفْبَائِيٌّ عَدَدِيّ
alternate character set,مَجْمُوعَة مَحَارِف ثَانَوِيَّة
analog,تَمَاثُلِيّ
analog computer,حَاسُوبٌ تَنَاظُريّّ
analog input scanner,مِفْرَاسٌ بِدَخْل تَنَاظُريّ
analog-to-digital conversion,تَحْوِيلٌ تنَاظُرِيّ رَقْمِيّ
analyst,مُحَلِّل
analyzer,مُحَلِّل
ancillary,مُسَاعِد
and,عَطْف
anomaly,شُذُوذ
anonymous,غُفْل
answering time,مُدَّةُ الإجَابَة
antivirus,مُضَادٌّ لِلْفَيْرُوس
antivirus program,بَرْنَامَجٌ مُضَادٌّ لِلْفَيْرُوسَات
apostrophe,فَاصِلَةٌ عُلْيَا
application,تَطْبِيق
application action bar,شَرِيطُ قَائِمَةِ خِيَارَات
application developer,مُطَوِّر تَطْبِيقَات
application development tools,أَدَوَاتُ تَطْوِير التطبيقات
application package,بَرْمَجِيَّة تَطْبِيقَات جَاهِزَة
application program,بَرْنَامَجُ تَطْبِيق
application program interface (API),وَجِيهَةُ بَرْناَمَجٍ تَطْبِيقِيّ
apply,تَطْبِيق
archie,أَرْشِي
architecture,بِنْيَة
archival medium,وَسِيط أرْشَفَة
archive,أَرْشيف
archived file,مِلَفّ مُؤَرْشَف
archive library,مَكْتَبَةُ أرْشَفَة
archiving,أرْشَفَة
array,مَصْفُوفَةٌ
arrow diagram,مُخَطَط سَهْمِيّ
article,بنْد
artificial,اصْطِنَاعِيّ
artificial intelligence,ذَكَاء اصْطِنَاعِيّ
ascending order,تَرْتِيبٌ تَصَاعُدِيّ
ASCII (American Standard Code for Information Interchange,آسْكِي
assignment,إسْنَاد
asterisk,نَجْمَةٌ
asynchronous,لا مُتَزَامِن
asynchronous communications port,بَوَّابَة اتِّصَال لا مُتَزَامِن
asynchronous transfer mode (ATM),مِنْوَالُ نَقْل لا مُتَزَامِن
asynchronous transmission,إِرْسَالٌ لا مُتَزَامِن
attach,إلْحَاق
attached table,جَدْوَلٌ مُلْحَق
attachment,مُلْحَق
attachment protocol,بُرُوتُوكُول الإلْحَاق
attention message,رَسِيلَة انْتِبَاه
attribute,سِمَة
audio,سَمْعِيّ
audio card,بطَاقة صَوْتِيَّة
audio response,استجابة صوتية
audio signal,إشَارَة صَوْتِيَّة
audio support,سِنَاد صَوْتِيّ
audit,تَدْقِيق
authentication,تَتَبُّث
authoring,تَأْلِيف
author language,لُغَة تَأْلِيف
author system,نِظَام مُؤَلِّف
authorware,بَرْمَجِيَّة تَأْلِيف
auto-answering,جَوَاب آلِيّ
auto-indexing,مَثْبَتَة آلِيَّة
auto-log off,خُرُوج آلِيّ
automatic,آلِيّ
automatic abstract,مُلَخَّصٌ تِلْقَائِي
automatic check,تَدْقِيق آليّ
automatic configuration,تَشْكِيلَةٌ آلِيَّةٌ
automatic hyphenation,قَطْعٌ آلِيٌّ لِلْكَلِمَات
automatician,آليّ (ال...)
automatic send-receive,إِرْسَالٌ-اسْتِقْبَالٌ آلِيّ
automatic speech recognition,تَعَرُّفٌ آلِيٌّ عَلَى الكلام
automatism,آلِيَّة
automatization,أَتْمَتَة
automaton,أُتْمُوت
auto-negotiation,تَفَاوُضٌ تِلْقَائِيّ
autonomous,مُسْتَقِلّ
auto-start,انْطِلاق آلِيّ
auxiliary,ثَانَوِيّ
auxiliary storage,خَزَّان مُسَاعِد
b:,b:
back,إلَى الْخَلْف
backbone,عَمُودٌ فِقَرِيّ (لِلشَّبَكَة)
background,خَلْفِيَّة
background processing,معالجة في الخلفية
backslash,قَضِيبٌ مَائِلٌ مَعْكُوس
backup copy,نُسْخَةٌ احْتِيَاطيَّة
backup file,مِلَفّ احْتِيَاطِيّ
bad sector,قِطَاعٌ مَعِيب
bad track table (BTT),جَدْوَلُ المَسَالِكِ المَعِيبَة
band rate,سُرْعَةُ نِطَاق
bandwidth,عَرْضُ نِطَاق
banner,لافِتَة
bar,شَرِيط
barcode,شَفْرَةٌ قَضِيبِيَّة
batch processing,مُعَالَجَةٌ بِالدُّفْعَات
baud,بُود
because it's time to network (Bitnet),شَبَكَةُ بِيتْنِيت
beep,رَنَّة
bell,نِدَاء
benchmark test,فَحْص ُ الأدَاء
bibliographic data base,قاعِدَة مُعْطَيات
bidirectional,ثُنَائِيُّ الاتجَِّاه
bit,بِتّ
bitmap,مَصْفُوفَةُ بِتَّات
bit per inch,بِتٌّ فِي الْبُوصَة
bit per second,بِتٌّ فِي الثَّانِيَّة
bit rate,سُرْعَةُ بِتَّات
blank,مَحْو
blank character,مِحْرَفُ بَيَاض
blind carbon copy (BCC),نُسْخَةٌ كَرْبُونِيَّة خَفِيَّة
blind search,بَحْثٌ أَعْمَى
blink,وَمَضَان
blinking cursor,مُنْزَلِقَة وَامِضَة
block,كُتْلَة
blue book,كِتَابٌ أَزْرَق
board,لَوْحَةٌ
bold,دَاكِن
bold face,مِحْرَفٌ دَاكِن
bookmark,مُؤَشِّرَة
boolean,بُولِياني
boolean add,جَمْع بُولِياني
boolean algebra,جَبْرٌ بُولِياني ٌّ
boot,شُرُوع
boot diskette,قُرَيْصُ الشُّرُوع
boot sector,قِطَاعُ الشُّرُوع
bootstrap,شُرُوع
bootstrap loader,مُحَمِّل الشُّرُوع
boot virus,فَيْرُوسُ الشُّرُوع
boot virus,فَيْرُوسُ الإطْلاق
box,عُلْبَة
braces,لامَّتَان
break,إِشَارَةُ انْقِطَاع
breakdown,عَطَل
bridge,جِسْر
browse,تَصَفُّح
browser,مُتَصَفِّح
bug,عَيْب
bug shooting,بَحْث عَن الْعُيُوب
built-in,مُدْمَج
bulletin board system (BBS),لَوْحَةُ عَرْض المَعْلُومَات
bureautical computer,حَاسُوبُ مَكْتَب
business data processing,مَعْلُومِيَّاتُ إدَارَة الأعْمَال
business user,مُسْتَعْمِلٌ مِهْنِيّ
bus network,شَبَكَةٌ نَاقِلَة
busy,مَشْغُول
byte,بَايْت
c:,c:
cable,حَبْل
cablecos,مُقَاوَلةُ تَحْبِيل
cabling,تَحْبِيل
cache memory,ذَاكِرَةٌ وَسِيطَة
call,نِدَاء
cancel,إِلْغَاء
capacity,وُسْعٌ
capture,اِلْتِقَاط
card,بِطَاقَةٌ
cardeware,كَارْدْوِير
carriage return,رُجُوع العَرَبة
carrier,حَامِلَة
cartridge,خَرْطُوشَة
catalog,فِهْرِس
catenation,تَسَلْسُل
cathode ray tube (CRT),أُنْبُوب أشِِعَّة مَهْبَطِيََّة
central control unit,وَحْدَة التّحَكُّم المَرْكَزِيَّة
central processing unit (CPU),وَحْدة مُعَالَجَة مَرْكَزِيَّةٌ
central unit,وَحْدَةٌ مَرْكَزِيَّة
chain,سِلْسِلَة
chaining search,بَحْثٌ سَلْسَلِيّ
channel,قَنَاة
character,مِحْرَف
character recognition,تَعَرُّفٌ عَلَى الْمَحَارِف
character set,مَجْمُوعةُُ مَحَارِف
character string,سِلْسِلَةُ مَحَارِف
chat,مُحَادَثَة
chat group,مَجْموعَة دَرْدَشَة
click,نَقْرَة
click stream,تَيَّارُ النَّقَرَات
client,زَبُون
clip art,صُورًةٌ إِلِكْتْرُونِيَّة
clock,وَقَّاتَة
coaxial cable,حَبْلٌ مُتَّحِدُ الْمِحْوَر
code,شَفْرَةٌ
code conversion,تَحْوِيلُ شَفْرَة
coder,مُشْفِرٌ
code translation,تَرْجَمَة شَفْرَة
codification,تَشْفِير
coding,إِشْفَار
collating,دَمْج
color palette,لَوْحَةُ ألْوَان
color printer,طَابِعَةٌ بِالألْوَان
color scanner,مِفْراسٌ بِالألْوَان
colors reduction,تَقْلِيصُ الأَلْوَان
column,عَمُود
comma,فَاصِلَة
command,آمِرَة
command menu,قَائِمَةُ الآمِرَات
command structure,بِنْيَةُ آمِرَة
common gateway interface (CGI),وَجِيهَةُ الْمَعْبَر العَامّة
commutator,مُبَدِّل
compact disk,قُرْصٌ مُتَرَاصّ
compact disk burner,مُسَجِّلَةُ الأقْرَاصِ المُدْمَجة
compaction,كَبْس
compatibility,تَلاؤُم
component,مُكَوِّن
computer,حَاسُوب
computer-aided learning (CAL),تعْلِيم بِمُسَاعَدَة الحَاسُوب
computer assisted design (CAD),تَصْمِيم بِمُسَاعَدَةِ الْحَاسُوب
computer based library system,نِظَامُ مَكْتَبَاتٍ مُحَوْسَب
computer center,مَرْكَزُ حَاسُوب
computer configuration,تَشْكِيلَةُ حَاسُوب
computer efficiency,فَعَّالِيَّة حَاسُوب
computer expert,خَبِيرٌ حَاسُوبِيّ
computer generated image,صُورَةٌ مُرَكَّبَةٌ بِوَاسِطَةِ الحَاسوب
computer generation,جِيلُ حَوَاسِيب
computer graphics,رُسُوميّات حَاسُوبِيَّة
computerize,حَوْسَبَة
computer network,شَبَكَةٌ حَاسُوبِيَّة
computer science,عِلْم الحاسوب
computer security,أَمْن الْحَاسُوب
computer simulation,مُحَاكَاة عَلَى الْحَاسُوب
computer system,نِظَامٌ حَاسُوبِيّ
computing speed,سُرْعَةُ حِسَاب
concatenation,سَلْسَلَة
concurrency,تَنْفِيذٌ مُتَآن
condition,شَرْط
configuration,تَشْكِيلَة
conflict,نِزَاع
connect cable,حَبْلُ الْوَصْل
connector,وَاصِل
console,مِطْرَاف
constant,ثَابِت
consult,اِطَّلَعَ عَلَى
contrast,تَبَايُن
control board,لَوْحَةُ تَحَكُّم
control bus,مَسْلَكُ ْمُرَاقَبَة
control channel,قَناة مُراقَبَة
controller,مُرَاقِب
convergence,تَقَارُب
conversational,تَحَاوُرِيّ
conversational mode,مِنْوَالٌ تَحَاوُرِيّ
cookie,كُوكِي
coprocessor,مُعَالِج اِقْتِرَانِيّ
copy,نُسْخَة
copy/paste,نَسْخ / لَصْق
copyright,حُقُوق التَّأْلِيف
corrective,تَصْحِيحِيّ
corrective maintenance,صِيَانَةٌ إصْلاحِيَّة
counter,سِجِلّ
course,سَيْر
cracker,مُهَرِّب
crash,عَطَب
crash area,مَحَطّ الرَّأس
cursor,زَالِقَة
curve,مُنْحَنًى
custom,زَبُون
custom application,تَطْبِيق زَبُون
custom design,تَشْخِيص
cut,قَطْع
cut/paste,قَطْع/لَصْق
cybercash,نَقْدٌ كُهْرُوبِيّ
cybernetics,سِيبِيرْنِيتِيكَا
cyberspace,فَضَاءٌ سِبِرْنِيتِيكِيّ
cycle time,مُدَّةُ دَوْرَة
daisy print wheel,لُؤْلُؤيَّة
dash,قَاطِعَة
data,مُعْطَيَات
data bank,بَنْكُ الْمُعْطَيَات
data base,قاعِدَة مُعْطَيات
data base administrator,مُدَبِّر قَاعِدَة مُعْطَيَات
data base key,مِفْتَاحُ قَاعِدَةِ الْمُعْطَيَات
data base management system,نِظَامُ تَدْبِيرِ قَاعِدَةِ الْمُعْطَيَات
data base server,مُزَوِّد قَاعِدَاتِ الْمُعْطَيَات
data bus,مَسْلَكُ مُعْطَيَات
data capture,مَسْكُ مُعْطَيَات
data carrier,سِنَادُ مُعْطَيَات
data channel,قَناة مُعْطَيات
data communication,إرْسَالُ الْمُعْطَيَات
data compaction,كَبْسُ الْمُعْطَيَات
data compression,كَبْسُ الْمُعْطَيَات
data conversion,تَحْوِيلُ مُعْطَيَات
data description language (DDL),لُغَةُ وَصْفِ مُعْطَيَات
data entry,إِدْخَالُ مُعْطَيَات
data error,غَلَطٌ فِي الْمُعْطَيَات
data exchange,تَبَادُلُ الْمُعْطَيَات
data field,مَجَالُ الْمُعْطَيَات
data file,مِلَفّ مُعْطَيَات
data format,شَوْكَلُ مُعْطَيَات
datagram,كُتْلَةُ مَعْلُومَات
data hierarchy,تَرَاتُبُ مُعْطَيَات
data independence,اسْتِقْلال مُعْطَيَات
data input,إدْخَالُ الْمُعْطَيَات
data locking,كُمُول مُعْطَيَات
data locking,إِزْلاجُ مُعْطَيَات
data management,تَدْبِيرُ مُعْطَيَات
data manipulation language (DLM),لُغَةُ تَنَاول المعطيَات
data medium,وَسِيطُ مُعْطَيَات
data output,إخْراجُ الْمُعْطَيَات
data pen,قَلَمٌ كُهْرُوبِيٌّ
data processing,مُعَالَجَةُ الْمُعْطَيَات
data processing center,مَرْكَزُ مُعَالَجَةِ الْمُعْطَيَات
data protection,حِمَايَةُ مُعْطَيَات
data purification,اصْطِحَاحُ مُعْطَيَات
data record,تَسْجِيلَةُ الْمُعْطَيَات
data reduction,تَقْلِيصُ مُعْطَيَات
data reliability,وُثُوقِيَّةُ مُعْطَيَات
data retrieval,اسْتِرْجَاع مُعْطَيَات
data security,سَلامَة مُعْطَيَات
data sink,مُسْتَقْبِل مُعْطَيَات
data source,مَصْدَرُ الْمُعْطَيَات
data speed,صَبِيبُ مُعْطَيَات
data station,مَحَطَّةُ الْمُعْطَيَات
data structure,بِنْيَةُ مُعْطَيَات
data transmission,إرْسَالُ الْمُعْطَيَات
data type,صِنْفُ الْمُعْطَيَات
deactivate,إخْمَاد
dead,مُعَطَّل
deadline,آخِرُ أَجَل
deadlock,تَوَقُّفٌ مَحْتُوم
dead time,وَقْتٌ مَيِّت
debug,ضَبَطَ
debugging,ضَبْط
debugging aids,أَدَوَاتُ تَشْخِيصِ الأخْطَاء
debug program,مُشَخِّص الأخْطَاء
decibel,دِيسِيبِيل
decimal,عَشَرِيّ
decoder,فَكَّاكُ الشَّفْرَة
decrement,مَنْقُوصٌ ثَابِت
decryption,فَكُّ الشَّفْرَة
dedicated line,خَطٌّ مُكَرَّس
default value,قِيمَةٌ افْترَاضيَّة
defective,مَعِيب
deferred delivery,تَوْصِيلٌ مُؤَجَّل
deferred entry,دَخْلَةٌ مُرْجَأَة
deferred exit,خُرُوجٌ مُرْجَأ
deferred printing,طَبْعٌ مُرْجَأ
delay,تَأْخِيرٌ
delete,مَحْو
deletion,حَذْفٌ
delimiter,مُحَدِّد
density,كَثَافَة
descending order,تَرْتِيبٌ تَنَازُلِيّ
descriptor,وَاصِف
design,تَصَوُّر
desk,مَكْتَب
destination terminal,مِطْرَافٌ مُسْتَقْبِل
detachable disk,قُرْصٌ خَلُوع
detail file,مِلَفّ الْتفاصيل
development,تَطْوِير
device,جِهَاز
device driver,قَائِدُ جِهَاز
diagnostic,تَشْخِيص
diagram,مِبْيَان
dialog,حِوَار
dial pulse,نَبْضَةُ اتِّصُال هَاتِفِيّ
dial-up,رَبْطٌ هَاتفِيّ
dial-up network,شَبَكَةٌ تَبْدِيلِيَّة
dichotomizing search,بَحْثٌ تَنصيفي
dichotomy,تَنصيف
digit,رَقْم
digital,رَقْمي
digital cassette,سَفْطَةٌ رَقْمِيَّة
digital computer,حَاسُوبٌ رَقْمِيّ
digital signature,تَوْقَيعٌ رَقْمِيّ
digital sort,فَرْزٌ رَقْمِيّ
digital video disk  (DVD),قُرْص فيديو رَقْمِيّ
digitize,رَوْقَمَة
direct access,وُلُوج مُبَاشِر
directory,مَصْنَفَة
directory structure,بِنْيَةٌ شَجَرِيَّة
disabled,مُعَطَّل
disconnect,فَصْل
disk,قُرْص
disk  buffer area,مِنْطَقَةُ قُرْصٍ وَسِيطَة
disk directory,مَصْنَفَةُ قُرْص
disk drive,قَارِئَةُ أَقْرَاص
disk formatting,شَوْكَلَة قُرْص
disk operating system ( DOS),نِظَام تَشْغِيلٍ عَلَى الْقُرْص
displacement,زَيْح
display,شَاشَة
display board,لَوْحَةُ الْعَرْض
display device,جِهازُ عَرض
display driver,قَائِدُ الشَّاشَة
distributed data base,قَاعِدَةُ مُعْطَيَاتٍ مُوَزَّعَة
document,وَثِيقَة
documentation,تَوْثِيق
document retrieval,اسْتِرْجَاع وَثَائق
document retrieval system,نِظَام اسْتِرْجَاع وَثَائق
domain,مَجَال
domain name server (DNS),خَادِمُ أسْمَاء الْمَجَالات
domain name system (DNS),نِظَامُ أَسْمَاءِ الْمَجَالات
dongle,مِفْتَاح حماية
downloading,تَنـْزيل
drag and drop,إِزْلاقٌ
driver,قَائِد
drum scanner,مِفْرَاسٌ ذُو أُسْطُوَانَة
duplicate,نُسْخَة
duplicate,نَسْخ
duplication check,مُرَاقَبَةٌ بِالنَّسْخ
echo,صَدىً
edition,نَشْر
editor,نَاشِر
efficiency,فَعَّالِيَّة
eight-bit byte,بَايْت
eject,قَذْف
elapsed time,مُدّة مُنْقََضِيَة
electronic bulletin board,خِدمَة البَرِيد الإلِكترونِيّ
electronic data interchange (EDI),تَبَادُلُ مُعْطَيَاتٍ إلِكْترونيّة
electronic dictionary,قَامُوس إلِكْترونِيّ
electronic filing,تَرْبِيدٌ إلِكْترونِيّ
electronic mail (e-mail, email),بَرِيدٌ إلِكْتْرُوني
emitter,بَاثّ
empty value,قِيمَةٌ فَارِغَة
emulation,تَمثيل
encode,أَشْفَرَ
encryption,تَشْفِير
end of file (EOF),نِهاَيَةُ مِلَفّ
end of text (ETX),نِهَايَةُ نَصّ
end of transmission (EOT),نِهَايَة الإِرْسَال
end page,صَفْحَةُ الْنهَايَة
end user,مُسْتَعْمِلٌ نِهَائِي
entry,دَخْلَة
environment,بيئة
equipment compatibility,تَلاؤُم التَّجْهِيزَات
ergonomics,شُغْلِيَّات
error,غَلَط
error detection,كَشْفُ الأغْلاط
error diagnostic,تَشْخِيصُ الأغْلاط
error message,رَسِيلَة غَلَط
escape (ESC),انْفِلات
Ethernet,إتِرْنِيت
Europanet,أوروبَانيت( شَبَكَة)
evolutionary,تَطَوُّرِيّ
exchange,تَبَادُل
executable,قَابِلٌ للتَّنْفِيذ
execute,نَفَّذَ
execute time,مُدَّة التَّنْفِيذ
exit,خُرُوج
expansible,قَابِلٌ لِلامْتِدَاد
expert system,نِظَامٌ خَبِير
export,تَصْدير
extension,تَوَسُّع
extraction,اسْتِخْرَاج
failure,فَشَل
fatal error,غَلَطٌ حَاسِم
faulty,مَعِيب
favorite,مُفَضَّل
favorites folder,مُجَلَّدُ مُفَضَّلات
fax,نَسْخٌ عَن بُعد
feasibility study,دِراسَة جَدْوَى
feed,تَزْوِيد
fetch,فَتَّشَ
fiber optics,ليفَة ضَوْئِيَّة
fiche,جُذَاذَة
field,حَقْل
fielding,تَنْطِيق
file,جُذَاذِيَّة
file attribute,سِمَة مِلَفّ
file attribute,مُسْنَدَات مِلَفّ
file collating,دَمْجُ الْمِلَفَّات
file descriptor,وَاصِفُ المِلَفّ
file directory,مَصْنَفَةُ مِلَفَّات
file extension,امتدَاد مِلَفّ
file extent,حَجْمُ مِلَفّ
file maintenance,صِيَانَة مِلَفّ
file management,تَدْبِيرُ مِلَفّ
file manager,مُدَبِّرُ مِلَفّ
file name,اسْم المِلَفّ
file protection,حِمَايَةُ مِلَفّ
file recovery utility,نَفْعِيَّةُ اسْتِرْدَادِ المِلَفَّات
file sharing,تَشَارُكٌ فِي مِلَفّ
file structure,بِنْيَةُ مِلَفّ
file transfer,نَقْلُ مِلَفّ
file transfer protocol (FTP),بُرُوتُوكُول نَقْلِ المِلَفَّات
filter,مِرْشَحَة
firewall,وَاقِيَّةٌ من النَّار
firmware,بَرْنَامَج مَصنَعيّ
fixed disk,قُرْصٌ ثَابِت
flashing,وَمِيض
flat scanner,مِفْرَاسٌ مُنْبَسِط
flexible,مَرِن
floating menu,قَائِمَةُ خِيَارَاتٍ عَائِمَة
floppy disk,قُرَيْص
flowchart,خَرِيطَة مَسار الْمَعْلُومَات
flow diagram,مِبْيَان انْسِيَابي
folder,مُجَلَّد
font,طَقم الْمَحَارِف
footing,أَسْفَلُ الصَّفْحَة
footnote,حَاشِية سُفلية
foreground,مُسْتَوىً أَمَامِيّ
form,اسْتِمَارَة
format,شَوْكَل
formatting,شَوْكَلَة
form feed,تَخَطِّي الصَّفْحَة
frame,إِطَار
freeware,بَرْمَجِيَّةٌ مَجَّانِيَّة
frequency,تَرَدُّد
frequently asked,أَسْئِلَةٌ متَرَدِّدَةٌ
full size display,عَرض بكامل الشاشَة
functionality,وَظِيفِيَّة
function key,مِفتَاح وَظِيفِيٌّ
furtive virus,فَيْرُوسٌ خَفِيّ
gateway,مَعْبَر
generator,مُوَلِّد
glitch,مَصْعَب
global system for mobile communication (GSM),نِظَامٌ عَامٌّ للاتِّصَالِ الْمُتَحَرِّك
glossary,مَسْرَد
gopher,غُوفر
graphic,رَسم بَيَاني
graphic data processing,مَعْلُومِيَاتٌ رسوميَّة
graphic display,عَرْضٌ رُسُومِيٌّ
graphic interchange format (GIF),شَوْكَلُ التَّبَادُلِ الْرُّسُومِيّ
graphics,رُسُوميّات
graphics 3-D,رُسُوميّات فِي ثَلاثَةِ أَبْعَاد
graphics board,لَوْحَةٌ رُسُوميَّة
graphics software,بَرْمَجِيَّةٌ رُسُومِيَّة
grid,شَبَك
groupware,بَرْمَجِيَّةٌ جَمَاعِيَّة
guest status,وَضْعيَّةُ ضَيْف
hacker,قُرْصَان
halt instruction,تَعْلِيمَةُ التَّوَقُّف
hand-held computer,حَاسُوبٌ جَيْبِيّ
handler,مُدَبِّر
hand scanner,مِفْرَاسٌ يَدَوِيّ
hang-up,تَوَقُّفٌ غَيْرُ مُتَوَقَّع
hard copy,نُسْخَة وَرَقية
hard disk,قُرْصٌ صَلْب
hardlock,مِفْتَاح حِمَايَة إلكتروني
hardware,عَتَاد
head,رَأْس
header,تَرويسَة
head of form (HOF),أَعْلَى الصَّفْحَة
help,مُسَاعَدَةٌ
hertz (Hz),هِرْتز
heterogeneous network,شَبَكَةٌ غَيْرُ مُتَجَانِسَة
hidden,مَخْفِيٌّ
hierarchical data base,قَاعِدَةُ مُعْطَيَاتٍ ترَاتُبية
hierarchy,تَرَاتُب
highlight,سُطُوعٌ فَائِق
high memory area,مِنْطَقََةٌ عَاليَّةٌ مِنَ الذَاكِرَة
high resolution,دِقِّيَّةٌ عَالِيَة
histogram,مِدْرَاج
hit,ضَرْبَة
holding time,مُدَّةُ شَغْلِ الْخَطّ
home directory,رَأْسُ الْمَصْنَفَة
home page,صَفْحَةُ الْبِدَايَة
homogeneous computer network,شَبَكَةٌ حَاسُوبِيَّة مُتَجَانِسَة
horizontal scrollbar,شَرِيطُ تَمْرِير أفُقِي
host,مُضِيف
host computer,حَاسُوبٌ مُضِيف
hot line,خَطٌّ مُبَاشِرٌ
hunting,تَصَيُّدٌ
hybrid,هَجِينٌ
hybrid computer,حَاسُوبٌ هَجِين
hyperlink,رِبَاطُ التَّشَعُّب
hypermedia,وَسَائِط مُتَشَعِّبَة
hypertext,نَصٌّ مُتَشَعِّب
hypertext link,رَبْطُ نَصٍّ مُتَشَعِّب
hypertext markup language (HTML),لُغَةُ وَسْمِ النُّصوُص المتشَعّبَة
hypertext transfer protocol (HTTP),بُرُوتُوكُول نَقلِ النَّصِّ المتَشَعّب
icon,أَيْقُونَة
illegal,غَيْرُ جَائِزَة
illegal character,مِحْرَف مَمْنوع
illegible,لا يُقْرَأُ
image,صُورَة
image processing,مُعَالَجَةُ الصُّورَة
immediate access,وُلُوجٌ فَوْرِيّ
immediate delivery,إيصَالٌ فَوْرِيّ
immediate processing,مُعَالَجَةٌ فَوْرِيَّة
immediate processing,مُعَالَجَةٌ فَوْرِيَّة
import,اسْتِيرَاد
inactive,خَامِل
inbuilt,مُدْمَج
incident,طَارِئٌ
incompatible,غَيْرُ مُتَلائِم
inconsistency,عَدَمُ الاتِّسَاق
increment,مُضَافٌ ثَابِت
indent,إزَاحَةٌ
indentation,عَمَلّية الإزَاحَة
index,ثَبْت
index,مَثْبَتَ
indexing,مَثْبَتَةٌ
index table,جَدْوَلُ الأثْبَات
inference,اسْتِنْبَاطٌ
inference engine,مُحَرّك اسْتِنْبَاط
informatician,مَعْلُومِيَّاتِيّ
informatics,مَعْلُومِيَاتٌ
information,مَعْلُومَةٌ
information gathering,تَجْمِيعُ الْمُعْطَيَات
information input,إدخَال ُ المَعْلُومَات
information processing,معالجة المعلومات
information retrieval,اسْتِرْجَاع مَعْلُومَات
information retrieval system (IRS),نِظَامُ اسْتِرْجَاع مَعْلُومَات
information storage and retrieval,تَخْزِين مَعْلُومَات واسْتِرْجَاعُهَا
information superhighway,طَرِيقٌ سَيَّارٌ لِلْمَعْلُومَات
information system,نِظَامُ الْمَعْلُومَات
information technology,تقَانَة الْمَعْلُومَات
initialization,اسْتِفْتَاحٌ
initiation,إِطْلاق
inkjet printer,طابِعَةٌ نَافِثَةُ حِبْر
input data,مُدْخَلات
input device,جِهاز إدخال
input/output device,جِهاز إدخال/إخراج
input/output (I/O),دَخْل/ خَرْج
input/output port,بَوَّابَةُ الدَّخْرَجَة
input port,بَوَّابَةُ الدَّخْل
input scanner,مِفْرَاسٌ ذُو دَخْلَة
input work queue,صَفُّ انْتِظَارِ الإِدْخَال
inquiry,اسْتِفْسَار
inquiry station,مَحَطَّة استفسَار
insertion,إِدْرَاج
installation,إِرْسَاء
instruction,تَعْلِيمَة
integer,عَدَد صَحِيح
integrated circuit,دارَة مُتَكَاملة
integrated service digital network (ISDN),شَبَكَةُ خِدْمَة رَقْمِيَّة مُدْمَجَة
integration,إِدْمَاج
integrity,كُمُول
intelligence,ذَكَاء
intelligent terminal,مِطْرَافٌ ذَكِيٌّ
interactive,تَفَاعُلِيّ
interactive access,وُلوج تَفَاعلِيّ
interactive mode,مِنْوَالٌ تَفَاعُلِيّ
